Player,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,2P%,eFG%,FT%,Season,Salary,Rating,Cap Maximum,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Andray Blatche,23,81,36,27.9,5.9,12.3,0.2,0.5,5.7,11.8,2.1,2.9,2.0,4.3,6.3,2.1,1.0,0.9,2.2,2.7,14.1,0.48,0.4,0.483,0.488,0.724,2010,3.0,62,58.04,0,1,0,0,0
Andre Iguodala,26,82,82,38.9,6.0,13.7,1.1,3.7,4.9,10.0,3.8,5.2,1.0,5.5,6.5,5.8,1.7,0.7,2.7,1.8,17.1,0.438,0.297,0.49,0.478,0.731,2010,12.2,84,58.04,0,0,0,1,0
Andre Miller,33,88,72,65.5,9.9,23.4,0.7,2.2,9.2,21.3,9.1,11.5,1.8,4.6,6.4,11.4,2.3,0.3,5.3,4.1,29.7,0.423,0.318,0.432,0.438,0.791,2010,6.731,78,58.04,0,0,1,0,0
Andrea Bargnani,24,80,80,35.0,6.7,14.3,1.5,4.1,5.2,10.2,2.3,2.9,1.3,4.9,6.2,1.2,0.3,1.4,1.5,2.7,17.2,0.469,0.366,0.51,0.521,0.793,2010,6.527,69,58.04,0,1,0,0,0
Andrei Kirilenko,28,60,35,44.0,6.7,13.3,0.4,2.0,6.3,11.3,3.5,4.5,2.8,4.7,7.6,2.7,1.9,1.7,1.4,2.8,17.4,0.504,0.2,0.558,0.519,0.778,2010,16.452,70,58.04,0,0,0,1,0
Andres Nocioni,30,75,28,19.7,3.1,7.8,1.3,3.3,1.8,4.5,0.9,1.3,0.4,2.5,3.0,1.0,0.4,0.3,0.9,2.1,8.5,0.397,0.394,0.4,0.481,0.692,2010,7.5,70,58.04,0,0,0,1,0
Andrew Bogut,25,69,69,32.3,6.9,13.2,0.0,0.0,6.9,13.2,2.2,3.4,3.0,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9,0.523,0.0,0.523,0.523,0.647,2010,10.0,71,58.04,1,0,0,0,0
Andrew Bynum,22,88,88,54.8,9.5,17.1,0.0,0.0,9.5,17.1,4.7,6.4,5.3,9.9,15.2,1.5,0.8,3.0,2.7,5.7,23.6,0.556,0.0,0.556,0.556,0.734,2010,12.527,74,58.04,1,0,0,0,0
Andris Biedrins,23,33,29,23.1,2.5,4.2,0.0,0.0,2.5,4.2,0.1,0.8,1.9,5.9,7.8,1.7,0.6,1.3,1.0,3.5,5.0,0.595,0.0,0.595,0.595,0.125,2010,9.0,74,58.04,1,0,0,0,0
Antawn Jamison,33,143,139,141.9,27.2,58.7,4.7,14.5,22.6,44.2,11.0,16.8,7.5,24.8,32.3,5.2,3.8,2.0,5.7,11.6,70.3,0.463,0.324,0.511,0.503,0.655,2010,11.641,75,58.04,0,1,0,0,0
